Team,Position,Name,Minutes played,Games played,Yellow Cards,Red Cards,Goals scored,Penalties scored,Own goals,Tackles,Shots,Assists,Passes,Goals_per_Game,Cards_per_Game,Pass_Accuracy_Estimate,Set
Athletic Club,Goalkeeper,Hodei Oleaga,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Test
Athletic Club,Goalkeeper,A. Remiro,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Train
Athletic Club,Goalkeeper,Herrerín,2.79,31,1,0,0,0,0,0,0,1,887.0,0.0,0.03225806451612903,0.0011273957158962795,Test
Athletic Club,Goalkeeper,Unai Simón,630.0,7,2,0,0,0,0,0,0,0,155.0,0.0,0.2857142857142857,0.0,Train
Athletic Club,Defender,Núñez,1.063,12,4,0,0,0,0,12,9,0,536.0,0.0,0.3333333333333333,0.0,Train
Athletic Club,Defender,I. Martínez,2.903,33,12,0,0,0,0,14,21,0,1.44,0.0,0.36363636363636365,0.0,Train
Athletic Club,Defender,Yeray,2.614,30,10,0,0,0,0,16,7,0,1.284,0.0,0.3333333333333333,0.0,Test
Athletic Club,Defender,San José,1.716,33,7,0,0,0,0,6,11,0,707.0,0.0,0.21212121212121213,0.0,Train
Athletic Club,Defender,Yuri B.,3.12,35,9,1,2,0,0,9,22,2,1.367,0.05714285714285714,0.3142857142857143,1.463057790782736,Train
Athletic Club,Defender,I. Lekue,210.0,4,1,0,0,0,0,0,0,0,85.0,0.0,0.25,0.0,Test
Athletic Club,Defender,Balenziaga,520.0,11,0,0,0,0,0,2,0,0,177.0,0.0,0.0,0.0,Test
Athletic Club,Midfielder,Nolaskoain,465.0,8,2,1,2,0,0,6,4,0,276.0,0.25,0.5,0.0,Test
Athletic Club,Midfielder,Beñat,2.045,27,8,0,1,0,0,1,13,2,1.166,0.037037037037037035,0.2962962962962963,1.7152658662092626,Train
Athletic Club,Midfielder,Iturraspe,97.0,3,1,0,0,0,0,0,0,0,80.0,0.0,0.3333333333333333,0.0,Train
Athletic Club,Midfielder,Córdoba,1.3219999999999998,23,4,0,0,0,0,0,16,5,406.0,0.0,0.17391304347826086,0.012315270935960592,Train
Athletic Club,Midfielder,Susaeta,1.38,22,2,1,1,0,0,1,11,2,524.0,0.045454545454545456,0.18181818181818182,0.003816793893129771,Train
Athletic Club,Midfielder,Dani García,2.482,29,13,0,0,0,0,8,1,0,1.396,0.0,0.4482758620689655,0.0,Train
Athletic Club,Midfielder,Mikel Rico,243.0,4,0,0,0,0,0,2,3,0,94.0,0.0,0.0,0.0,Train
Athletic Club,Midfielder,De Marcos,2.426,30,4,2,1,0,0,4,7,2,1.028,0.03333333333333333,0.26666666666666666,1.9455252918287937,Train
Athletic Club,Midfielder,Ibai,2.033,32,0,0,3,0,0,1,35,4,717.0,0.09375,0.0,0.005578800557880056,Train
